crate_id,name,updated_at,created_at,downloads,repository,version
322409,russimp-sys,2022-10-12 05:53:28.432600,2020-12-13 14:28:41.647044,3489,https://github.com/jkvargas/russimp-sys,1.0.3
322778,russimp,2022-10-12 07:22:08.228978,2020-12-14 14:21:13.788507,2719,https://github.com/jkvargas/russimp,1.0.4
322933,autocxx-bindgen,2022-08-29 21:44:32.224073,2020-12-15 00:30:08.426621,50989,https://github.com/adetaylor/rust-bindgen,0.60.3
325320,cl3,2022-09-17 11:37:53.239290,2020-12-21 16:59:22.678295,70152,https://github.com/kenba/cl3,0.9.1
330738,libyang2-sys,2022-05-18 23:16:48.848609,2021-01-02 20:43:14.671957,1516,,0.3.0
345379,windivert-sys,2022-01-29 10:50:46.369100,2021-01-22 16:43:46.979833,2310,https://github.com/Rubensei/windivert-rust.git,0.8.0
348386,bad64-sys,2021-12-22 00:09:35.882576,2021-01-30 08:17:14.240397,3268,https://github.com/yrp604/bad64-sys,0.5.0
353340,umm-malloc-sys,2022-02-16 20:07:34.050506,2021-02-10 18:50:16.554773,798,https://github.com/mattico/umm-malloc-rs,0.3.1
354759,windivert,2022-01-29 10:51:34.733155,2021-02-13 16:43:26.251514,1208,https://github.com/Rubensei/windivert-rust.git,0.4.0
354920,basis-universal-sys,2022-02-06 16:55:41.997763,2021-02-14 02:32:43.904153,28576,https://github.com/aclysma/basis-universal-rs,0.2.0
363836,netcorehost,2022-07-10 21:01:36.883098,2021-03-04 18:50:08.965964,2443,https://github.com/OpenByteDev/netcorehost,0.12.0
369949,selinux-sys,2022-08-24 12:06:03.519874,2021-03-16 22:16:10.601526,262554,https://github.com/koutheir/selinux-sys,0.5.3
369950,fts-sys,2022-09-03 03:57:44.548050,2021-03-16 22:25:55.906208,260726,https://github.com/koutheir/fts-sys,0.2.2
370551,cryptoki-sys,2022-08-11 09:39:20.242797,2021-03-18 15:39:26.939363,22165,https://github.com/parallaxsecond/rust-cryptoki,0.1.4
370556,cryptoki,2022-09-29 14:24:12.732060,2021-03-18 15:45:17.211515,21809,https://github.com/parallaxsecond/rust-cryptoki,0.4.1
372537,tss-esapi-sys,2022-02-04 09:51:13.430759,2021-03-23 10:07:34.533348,69047,https://github.com/parallaxsecond/rust-tss-esapi,0.3.0
372622,dart-sdk-sys,2022-06-04 04:13:56.443835,2021-03-23 16:11:32.019379,2359,https://github.com/DoumanAsh/dart-sys,2.17.1
372778,dittolive-ditto,2022-10-21 00:23:43.331681,2021-03-24 02:09:10.340369,4519,,2.0.8
373765,opencl-heads,2021-11-21 09:21:25.848637,2021-03-26 10:46:02.699774,800,https://github.com/n3nx/opencl-rs,0.2.1
374413,nethost-sys,2022-10-28 22:21:16.575671,2021-03-27 21:22:07.951828,3846,https://github.com/OpenByteDev/nethost-sys,0.6.1
378847,pylon-cxx,2022-08-31 05:40:20.929358,2021-04-04 15:59:24.520260,16882,https://github.com/strawlab/pylon-cxx,0.3.4
379408,ockam-ffi,2022-09-21 03:33:20.957517,2021-04-05 17:40:57.066674,5040,https://github.com/build-trust/ockam/tree/develop/implementations/rust/ockam/ockam_ffi,0.62.0
382808,zstr,2022-04-27 06:57:12.908834,2021-04-13 10:08:02.053569,571,https://github.com/H2CO3/zstr/,0.1.1
